,t_amb,t_amb,h_amb,h_amb,f1,f1,f1,f1,f1,f1,f1,f1,f1,f1,f1,f1
datetime,1,2,1,2,1,2,3,4,5,6,7,8,9,10,11,12
datetime,,,,,,,,,,,,,,,,
2022-11-11 08:00:56,23.52,22.86,67.65,67.21,23.06,20.76,22.46,29.62,22.88,24.47,24.28,26.27,21.64,25.42,21.64,20.8
2022-11-11 08:30:56,22.09,22.98,68.54,71.47,22.94,18.27,22.55,29.34,23.82,23.83,25.9,26.95,24.71,26.26,22.37,22.43
2022-11-11 09:00:56,23.34,26.55,76.19,76.83,27.08,21.69,21.93,28.2,23.49,26.81,25.54,27.91,24.47,25.2,25.65,20.35
2022-11-11 09:30:56,27.67,24.54,71.17,68.87,24.5,24.24,19.75,28.05,22.4,21.71,25.14,30.11,26.21,26.81,29.13,24.71
2022-11-11 10:00:56,23.88,29.88,66.85,67.12,25.95,21.68,26.32,29.54,25.45,25.3,25.69,28.34,22.56,25.93,25.89,27.46
2022-11-11 10:30:56,30.8,27.97,56.83,54.31,27.88,24.15,22.79,30.14,21.52,26.58,27.3,30.56,22.8,28.31,25.36,24.57
2022-11-11 11:00:56,30.43,35.05,45.76,48.81,27.88,20.48,24.65,28.93,22.53,27.7,29.42,28.18,21.26,26.89,25.97,24.94
2022-11-11 11:30:56,34.1,35.6,49.7,51.8,25.14,23.76,23.37,29.9,23.15,22.38,24.88,30.03,24.48,26.55,28.82,27.33
2022-11-11 12:00:56,31.48,36.03,45.95,48.65,27.87,20.2,23.43,29.2,21.62,26.4,27.47,29.4,24.3,27.15,24.84,25.06
2022-11-11 12:30:56,34.53,33.33,49.31,48.35,27.9,18.06,21.17,28.66,25.97,25.98,27.97,27.98,20.04,22.84,31.67,26.13
2022-11-11 13:00:56,34.24,33.59,51.34,48.49,24.55,23.14,24.58,29.3,26.71,27.05,26.77,24.85,21.3,25.42,23.25,22.87
2022-11-11 13:30:56,27.56,35.32,55.6,51.51,27.83,22.56,23.54,31.15,25.97,26.81,30.44,27.11,26.56,24.39,23.67,22.95
2022-11-11 14:00:56,33.37,31.94,53.0,52.19,27.36,23.85,23.46,29.48,23.35,22.64,32.09,30.33,22.99,27.15,26.98,26.13
2022-11-11 14:30:56,30.31,32.37,57.19,52.34,28.73,22.99,22.78,29.02,23.67,27.89,29.12,28.81,22.33,23.91,28.52,23.09
2022-11-11 15:00:56,25.53,29.4,59.08,55.21,25.88,21.7,24.81,28.94,24.39,26.06,26.67,27.75,20.49,27.29,24.91,20.98
2022-11-11 15:30:56,30.22,27.25,62.57,57.72,25.06,17.71,22.54,30.31,29.8,26.64,27.06,27.97,23.81,26.52,24.2,24.8
2022-11-11 16:00:56,25.64,25.25,65.9,64.93,29.03,20.22,22.54,30.83,28.52,28.08,25.7,31.73,20.47,28.15,26.37,25.22
2022-11-11 16:30:56,24.06,26.9,72.04,65.54,27.11,22.7,23.76,30.74,22.45,24.93,27.3,28.15,22.89,26.78,30.05,28.5
2022-11-11 17:00:56,23.78,26.24,67.3,68.14,26.99,23.13,23.79,29.21,28.66,27.54,28.89,30.5,24.2,24.86,29.07,24.98
2022-11-11 17:30:56,19.7,21.42,73.92,69.17,28.95,23.77,24.2,32.57,24.35,29.09,30.1,27.32,26.22,25.79,26.15,24.66
2022-11-11 18:00:56,21.93,25.71,73.2,72.83,27.09,21.1,24.29,31.49,28.25,28.47,28.93,28.47,28.35,27.88,28.82,22.65
2022-11-11 18:30:56,21.49,25.94,77.44,71.73,23.41,24.83,28.3,32.97,26.64,27.21,31.75,26.04,27.44,24.81,27.09,27.24
2022-11-11 19:00:56,22.42,23.21,74.82,76.42,25.81,22.88,24.57,27.69,26.44,21.42,30.44,29.42,21.03,25.2,24.63,24.27
2022-11-11 19:30:56,16.07,26.91,76.56,74.19,30.91,26.51,24.17,29.07,23.37,27.12,27.0,27.49,28.55,28.56,28.73,23.89
2022-11-11 20:00:56,22.13,25.04,77.99,74.94,28.45,23.31,25.16,29.42,29.96,32.26,27.13,28.0,27.6,28.9,24.89,24.92
2022-11-11 20:30:56,18.98,22.01,76.49,74.96,27.69,21.39,19.58,31.96,26.36,28.4,29.36,31.72,24.44,27.43,27.57,23.22
2022-11-11 21:00:56,21.77,22.45,79.49,74.93,25.21,22.99,21.98,28.33,26.56,28.52,25.35,29.46,26.78,30.24,28.51,24.24
2022-11-11 21:30:56,22.22,24.21,77.64,76.81,28.56,25.54,24.05,34.18,26.92,26.75,28.58,31.41,23.71,28.77,27.96,25.42
2022-11-11 22:00:56,21.2,19.56,77.83,81.94,26.19,28.04,24.66,29.9,28.27,28.65,24.88,28.29,24.42,28.01,27.83,26.26
2022-11-11 22:30:56,18.55,29.19,78.63,76.61,27.71,27.37,25.91,28.09,28.58,29.44,25.89,33.62,26.28,28.56,28.57,25.11
2022-11-11 23:00:56,21.51,22.58,82.39,76.83,28.5,25.11,25.76,32.29,26.59,28.11,27.62,30.32,25.54,25.93,27.27,25.76
2022-11-11 23:30:56,23.37,19.85,80.87,80.74,30.09,22.24,20.95,28.83,28.15,27.39,26.88,28.5,25.84,28.43,29.57,26.47
2022-11-12 00:00:56,21.98,18.86,81.85,78.78,32.34,24.85,25.62,34.06,25.25,28.99,27.47,27.06,24.23,29.56,25.28,23.86
2022-11-12 00:30:56,17.53,20.31,79.26,81.05,27.46,22.66,26.18,32.68,24.91,29.39,28.04,26.6,29.05,28.21,30.29,24.66
2022-11-12 01:00:56,21.96,24.66,85.55,81.03,33.05,23.7,24.0,33.68,25.25,29.02,26.03,32.85,27.5,29.68,24.76,25.0
2022-11-12 01:30:56,21.35,21.0,82.34,81.24,28.54,26.36,22.99,31.01,23.49,31.09,26.62,30.84,22.45,27.64,25.54,24.83
2022-11-12 02:00:56,19.94,20.67,83.01,80.9,26.63,25.38,19.94,32.47,26.5,27.68,28.75,32.5,27.49,27.27,26.37,24.3
2022-11-12 02:30:56,19.55,17.95,81.51,82.13,32.49,21.95,25.61,31.24,28.05,30.22,25.79,28.43,22.71,31.2,30.76,23.3
2022-11-12 03:00:56,20.19,20.79,88.35,81.2,25.04,24.71,24.9,31.93,24.59,30.39,29.71,30.34,25.13,29.11,28.04,26.05
2022-11-12 03:30:56,20.59,19.56,83.86,80.54,26.32,26.5,25.82,31.47,28.02,28.88,33.1,28.93,24.73,24.35,27.31,23.47
2022-11-12 04:00:56,19.65,19.79,85.03,86.41,27.27,23.76,20.09,28.31,23.42,29.12,26.24,29.81,25.09,26.45,27.58,28.28
2022-11-12 04:30:56,15.97,18.77,89.37,86.8,26.86,24.91,23.52,28.49,28.58,30.03,29.3,29.7,23.3,28.03,26.03,26.94
2022-11-12 05:00:56,16.39,18.59,88.62,87.76,26.64,23.83,24.33,30.54,29.31,27.59,32.61,28.08,25.39,26.43,28.38,26.36
2022-11-12 05:30:56,16.85,22.22,89.25,82.69,28.34,22.73,24.2,33.51,28.34,28.07,25.79,28.25,24.43,27.91,24.98,23.52
2022-11-12 06:00:56,18.27,25.94,85.87,85.08,29.35,22.78,23.55,27.94,29.5,25.66,29.64,25.99,24.62,29.71,29.03,25.0
2022-11-12 06:30:56,21.67,23.53,81.59,76.63,28.75,21.73,23.26,31.38,25.7,27.3,25.9,32.8,24.81,25.69,28.7,27.32
2022-11-12 07:00:56,26.3,24.11,79.72,77.45,29.32,19.43,24.47,29.05,24.2,29.34,27.46,27.34,25.38,27.7,29.35,24.4
2022-11-12 07:30:56,25.12,28.19,73.63,75.96,27.52,20.58,23.84,30.06,27.96,30.11,26.01,31.66,27.12,32.92,26.54,24.78
2022-11-12 08:00:56,27.02,30.92,72.7,74.07,33.54,24.52,24.91,30.91,26.69,27.7,25.62,31.12,28.14,30.16,28.21,21.8
2022-11-12 08:30:56,31.4,30.42,73.2,71.27,29.66,23.48,25.57,30.11,26.8,29.73,25.46,30.42,26.95,26.59,25.1,29.66
2022-11-12 09:00:56,26.13,28.53,65.36,70.89,28.3,27.86,25.36,28.12,28.2,30.66,28.86,28.68,23.35,27.13,27.22,22.41
2022-11-12 09:30:56,30.54,35.14,57.89,61.63,29.94,28.12,25.4,29.28,26.12,25.34,28.79,29.0,24.91,31.36,30.15,25.45
2022-11-12 10:00:56,29.2,33.78,56.39,57.08,30.86,26.34,28.1,29.78,26.98,30.75,26.73,29.42,22.19,30.04,28.81,24.32
2022-11-12 10:30:56,29.19,33.38,65.23,63.27,29.13,24.37,23.86,30.95,29.3,30.99,32.53,29.81,25.14,27.71,30.63,24.53
2022-11-12 11:00:56,32.22,35.91,62.63,63.2,32.75,23.39,22.12,32.27,24.93,28.27,31.43,27.93,24.23,29.3,31.84,25.71
2022-11-12 11:30:56,30.78,31.93,64.18,63.51,29.0,24.28,26.09,31.26,29.21,27.33,29.87,31.7,24.72,31.0,29.74,23.6
2022-11-12 12:00:56,25.04,32.9,67.46,66.88,30.18,24.65,23.35,30.04,32.4,30.36,30.05,29.54,23.85,26.94,26.95,23.85
2022-11-12 12:30:56,28.28,29.09,65.02,62.61,30.6,19.86,24.48,34.79,26.46,24.6,24.87,30.35,23.78,30.59,33.88,23.3
2022-11-12 13:00:56,24.56,31.7,64.02,64.64,27.88,24.81,23.61,30.06,25.81,29.1,25.62,30.51,25.42,30.21,26.81,24.43
2022-11-12 13:30:56,29.28,28.97,61.57,60.03,29.37,26.42,22.7,28.53,28.14,25.65,27.08,30.82,28.52,30.53,26.1,25.95
2022-11-12 14:00:56,26.85,27.65,60.7,57.41,30.47,24.4,22.78,31.65,26.24,27.91,28.48,28.42,25.42,27.13,28.05,22.03
2022-11-12 14:30:56,25.79,36.63,63.2,58.74,28.8,22.45,22.87,32.21,26.73,33.27,30.97,31.76,26.69,27.54,25.87,24.55
2022-11-12 15:00:56,28.59,29.01,62.23,56.64,29.11,22.97,23.81,29.49,24.66,27.8,28.86,29.25,22.94,30.09,29.21,23.38
2022-11-12 15:30:56,24.49,29.85,65.39,61.21,27.69,23.38,20.86,32.42,28.34,29.99,26.65,26.3,23.79,30.39,26.47,22.09
2022-11-12 16:00:56,23.62,30.46,64.31,67.52,29.95,22.52,21.99,32.1,26.98,28.74,25.36,33.47,24.3,27.18,29.0,22.76
2022-11-12 16:30:56,22.68,25.28,70.53,69.54,28.12,23.06,25.53,32.68,28.11,30.71,30.28,33.61,23.86,27.41,27.09,27.16
2022-11-12 17:00:56,21.55,23.0,74.05,73.82,31.03,23.75,26.04,33.11,25.76,30.91,26.65,31.29,25.28,28.0,26.43,27.91
