T masa,,T Cuarto,,H Cuarto,
X,Y,X,Y,X,Y
0.267780144,26.05866608,0.018475661,25.92673759,0.014870726,71.36258661
0.497907359,27.16364506,0.0455655,27.23502304,0.04704557,76.6743649
0.584205064,26.98962838,0.076007464,28.99701584,0.066888225,71.59353349
0.658996409,27.3823781,0.084621644,30.41474654,0.080076607,68.8221709
0.752965022,27.4638373,0.089431552,31.96445818,0.086775944,65.81986143
0.847892498,27.41066255,0.104149715,33.59447005,0.08931473,62.79970577
1.1307572,27.63278972,0.136696501,35.25345622,0.093670553,59.81524249
1.202671955,27.820787,0.174195076,36.44471426,0.099351005,55.79738082
1.437593487,27.94968325,0.221318145,36.49769585,0.113678439,52.19399538
1.562245728,27.69916388,0.240846216,34.70046083,0.146379016,49.42263279
1.648543434,27.85755678,0.253864931,32.90322581,0.185511799,49.17144506
1.73484114,28.04461124,0.273393002,31.10599078,0.215531493,52.96976157
1.811550211,28.06969011,0.314353508,29.11645072,0.217848627,50.57736721
1.8930536,29.52068214,0.331977217,27.78801843,0.250098575,54.73441109
2.137563766,32.24956539,0.349968435,26.28413351,0.279969857,56.54129221
2.337007352,35.88962799,0.390561432,25.57603687,0.30189076,58.4295612
2.487548905,37.0132316,0.440854987,24.31747565,0.322833931,60.38041315
2.581837139,37.34415961,0.501220504,23.77880184,0.327606602,63.04849885
2.686855511,39.68853603,0.561692619,22.94639333,0.341578284,66.79675291
2.741647705,41.13710367,0.624898291,22.81105991,0.388067154,70.14415165
2.7823994,42.71173913,0.680091404,22.31075955,0.395754643,73.47595801
2.829543517,44.93004774,0.735557364,21.98156682,0.450372707,75.51963048
2.995746505,47.40776511,0.804344119,21.57841,0.519760119,76.95163945
3.086838528,47.30971237,0.88071513,21.23377492,0.567205543,79.2147806
3.173136234,47.38626894,0.911310008,22.94930876,0.612643872,80.60046189
3.259433939,46.90995888,0.939463952,24.50075885,0.659196719,81.31750356
3.34162223,46.40892015,0.963384866,26.12903226,0.71006966,82.67898383
3.393674815,47.03441044,0.977903094,27.81998535,0.749048987,83.37182448
4.064879192,44.8197384,1.015459723,29.7235023,0.787019903,84.19972987
4.133369435,43.14327895,1.051993421,31.39278914,0.833496686,84.98845266
4.213503018,43.35177571,1.074043938,32.90322581,0.900819709,85.82511651
4.836764226,47.87445846,1.096512079,34.52460451,0.918079573,84.52655889
5.10045166,44.3666216,1.13913751,32.48847926,0.937726957,82.44803695
5.292224339,44.48428489,1.186545616,31.25708993,0.95868919,79.9141901
5.37167302,46.55923177,1.236777868,31.65898618,0.970592764,77.13625866
5.453313389,47.95761472,1.289928524,31.54358564,0.983811187,73.90300231
5.554313667,49.24059715,1.314890155,30.13824885,1.010007698,71.13163972
5.656592429,49.58378175,1.323129169,28.33459965,1.042738317,67.89838337
5.723712867,49.0281244,1.340927583,26.95852535,1.049467696,64.43418014
5.790833305,47.00046911,1.355131235,25.47487513,1.05512784,59.70202123
5.877131011,46.0274842,1.386493084,24.60829493,1.089107944,54.96535797
5.939457131,45.17612241,1.402435162,23.6420431,1.095356653,58.89145497
6.097669592,42.31882778,1.445077299,23.640553,1.099635159,63.52859178
6.159995712,42.42687436,1.503704595,23.1861574,1.153532736,64.43418014
6.394917244,44.18333839,1.542717657,22.67281106,1.200799887,64.64784058
6.711342165,43.2274396,1.582432326,21.62128326,1.218753638,61.66281755
6.725725116,39.65217031,1.633848657,21.56682028,1.28142587,59.2639621
6.740108067,37.22875907,1.696486604,21.01054538,1.304749494,62.23102294
6.749696701,34.30641022,1.757526444,21.15207373,1.316089299,65.12702079
6.812022822,42.98054237,1.821138845,20.94005184,1.341058001,68.65838761
6.89352621,42.45233036,1.861676159,20.73732719,1.348189038,71.59353349
6.960646648,40.92497034,1.905039392,20.28015398,1.37903833,73.93238926
7.075710256,40.24420415,1.911795021,23.14511112,1.406395163,76.6743649
7.171596595,39.4847264,1.920260374,25.02304147,1.445284365,78.75288684
7.257894301,39.75550282,1.934183793,27.60746274,1.470242342,80.89225706
7.33939769,39.94745992,1.959316517,29.58525346,1.536146003,81.7551963
7.426654259,40.32760286,1.975622392,31.63635862,1.5853518,82.95774008
7.525006247,40.3431189,2.017900732,33.87096774,1.646594942,83.60277136
7.608838304,38.8070311,2.050447518,35.66820276,1.711575508,84.52655889
7.670205561,38.02638042,2.076484947,36.9124424,1.776601138,84.75750577
2.011391375,30.13824885,2.114835152,38.2398337,1.835107681,85.21939954
0.969894223,27.64976959,2.154597234,39.53917051,1.882855637,85.82511651
1.340927583,27.64976959,2.180634662,38.70967742,1.900238457,83.83371824
1.282343369,27.64976959,2.19509557,37.54441348,1.912395118,81.75539496
1.041497152,27.78801843,2.226200163,36.49769585,1.926478323,78.00058082
2.082994304,30.96774194,2.23270952,34.83870968,1.941968144,73.07811628
2.193653377,33.1797235,2.236326696,32.69759099,1.966180364,69.97690531
